,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
388,_nojam_nolife,2019-04-21 23:21:46+00:00,비틀즈 이후 1년 내 앨범차트 3번 1위한 거 처음이라고ㅠㅠ 소년단 빌보드 200차트 1위 축하해!!! #PersonaBillboardNo1 #방탄소년단 #BTS @BTS_twt,1103,#PersonaBillboardNo1 #BTS #BTS,971,2,1095298767278956545
389,axlauj,2019-04-21 23:21:45+00:00,BTS(방탄소년단) - Boy With Luv(작은 것들을 위한 시) @인기가요 Inkigayo 20190421 https://youtu.be/M3C5tmt08nI via @YouTube @BTS_twt,0,,0,0,539561391
390,follov_v1230,2019-04-21 23:21:32+00:00,have a good rest today #GoodmorningTaehyung @BTS_twt #Taehyung #BTSV #방탄소년단뷔 #BTS #방탄소년단 #V #뷔 #KimTaehyung #김태형 #金泰亨,41,#GoodmorningTaehyung #Taehyung #BTSV #BTS #BTS #V #KimTaehyung,19,0,987989400750514176
391,BTS_SUGA_JIN_13,2019-04-21 23:21:32+00:00,만약에ㅋㅋㅋ 아미 중에 기자를 직업으로 하고 있는 분이 작정하고 이 일 기사 쓴다면 빅히트 전나 어째 나올지 궁금하다,2,,0,0,4808359394
392,idol_world,2019-04-21 23:21:22+00:00,[BTS] 190421 알라딘팬사인회 #방탄소년단 #지민 #BTS #JIMIN FOCUS https://idolworld.co.kr/b/idol_m-46390,3,#BTS #BTS #JIMIN,1,0,255360282
393,MiMi_M02_,2019-04-21 23:21:01+00:00,#PersonaBillboardNo1 #army #BTS #방탄소년단 @BTS_twt i am so so happy and proud of you BTS congratulations my best king's ,0,#PersonaBillboardNo1 #army #BTS #BTS,0,0,1107082744482484227
394,girlinluv_army,2019-04-21 23:20:46+00:00, Aladin Fansign 알라딘 #BTS #방탄소년단 @BTS_twt,5,#BTS #BTS,1,1,813928746952589312
395,HT_JK14,2019-04-21 23:20:38+00:00,Nae~ #PersonaBillboardNo1 #방탄소년단 @BTS_twt @bts_bighit,0,#PersonaBillboardNo1,0,0,969918627255238657
396,mykid0811,2019-04-21 23:20:36+00:00,씐이가 난다 씐이가 나요 빌보드 1위 축하합니다 @BTS_twt #PersonaBillboardNo1 #BTS #방탄소년단 ,5,#PersonaBillboardNo1 #BTS #BTS,3,0,3146075025
397,Olivia469754091,2019-04-21 23:20:34+00:00,"보면서도 믿기지가 않네요..ㅠㅠ 방탄소년단 정말로 축하해요.....!!!! 고생 많았고, 그동안 많이 애썼어요.. 방탄소년단으로 존재해줘서 고마워요... #PersonaBillboardNo1 #Map_of_the_Seoul_Persona #BoyWithLove #작은것들을_위한_시 @BTS_twt",6,#PersonaBillboardNo1 #Map_of_the_Seoul_Persona #BoyWithLove,4,1,1115286176414330881
398,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
399,TaeNgan3,2019-04-21 23:20:11+00:00,"Good morning baby Have a good day , we love u 방탄소년단 뷔 Purple u #방탄소년단뷔 #뷔 #김태형 #BTSV #V #Taehyung #GoodMorningTaehyung",48,#BTSV #V #Taehyung #GoodMorningTaehyung,32,0,1107194894567657472
400,secretEJ,2019-04-21 23:19:55+00:00,세번째 빌보드 200 1위~!!!! 축하해 방탄소년단 너무나 자랑스러운 내 가수 #PersonaBillboardNo1 @BTS_twt #BTS,8,#PersonaBillboardNo1 #BTS #BTS,13,0,146800951
401,BTS_ARMY_jina,2019-04-21 23:19:50+00:00,우리 #방탄소년단 세번째 Billboard 200 1위 진쨔진쨔 너무너무 축하해 @BTS_twt #PersonaBillboardNo1 #BoyWithLuv #작은것들을위한시 #MAP_OF_THE_SOUL_PERSONA,0,#PersonaBillboardNo1 #BoyWithLuv #MAP_OF_THE_SOUL_PERSONA,0,0,1113618020583108608
402,Jimin_Paraguay,2019-04-21 23:19:46+00:00,#BTS #방탄소년단 #Billboard200 #PersonaBillboardNo1 @BTS_twt https://www.billboard.com/articles/columns/chart-beat/8507977/bts-map-of-the-soul-persona-no-1-album-billboard-200-chart?utm_source=twitter&amp;utm_medium=social&amp;utm_source=Direct,7,#BTS #BTS #Billboard200 #PersonaBillboardNo1,0,0,880540370219802624
403,kotteevk,2019-04-21 23:19:37+00:00,Yeeees!! My babies Felicidades!!! #BTS #방탄소년단 #Billboard200,0,#BTS #BTS #Billboard200,0,0,1104435574344204288
404,Lehhhang,2019-04-21 23:19:30+00:00,OMG TAEHYUNG & blue hair & make it right & boy with luv & dionysus #PersonaBillboardNo1 #GoodmorningTaehyung #방탄소년단 #뷔 #방탄소년단뷔 #BTS #V #BTSV #김태형 #보라해,2,#PersonaBillboardNo1 #GoodmorningTaehyung #BTS #BTS #V #BTSV,4,0,1028674001587957763
405,MinLumina,2019-04-21 23:19:23+00:00,#ArmyfolllowArmy #방탄소년단 #ArmyHelpArmy #armyfollowarmy #ArmyfolllowArmy #armyfollorarmy @BTS_twt,6,#ArmyfolllowArmy #ArmyHelpArmy #armyfollowarmy #ArmyfolllowArmy #armyfollorarmy,1,3,1110874269054062597
406,rosesofbangtan,2019-04-21 23:19:19+00:00,"I love BTS, I love ARMY. I'm so happy I decided to really join the fandom 9 months ago, 3 #1s in we months,.. I'm so proud of them I want to cry idk, I feel so strong about everything right now I'm so happy, I say the kings of kpop, you say #BTS #BTSARMY #방탄소년단 #btsnum",0,#1s #BTS #BTS #BTSARMY #BTSARMY #btsnum,0,0,2353994041
407,lovemaze912_,2019-04-21 23:19:17+00:00,Our THIRD #1 Album on BB200 Boys Im beyond proud. Congratulations! You all deserve this. I love you. #PersonaBB200Number1 2019 is BTS YEAR! #방탄소년단 #BTS @BTS_twt,0,#PersonaBB200Number1 #BTS #BTS,0,0,905053609376677888
408,kaysi_mochi,2019-04-21 23:19:15+00:00,@BTS_twt YOU DID ITTT !!!! 방탄소년단 사랑해요 !!!!,0,,0,0,813996338664894464
409,_jhopeborahe,2019-04-21 23:19:10+00:00,아 빅히트진짜,0,,0,0,1028478480818655232
410,LudmilaKukla,2019-04-21 23:19:08+00:00, #jimin #bts #JIMIN #jikook #방탄소년단 ,0,#jimin #bts #bts #JIMIN #jikook,0,0,1107249110774677505
411,LOVE__PACKAGE,2019-04-21 23:19:07+00:00,방탄소년단 빌보드 핫200 1위 확정 ,2,,0,0,911931137575886848
412,everglowbts,2019-04-21 23:19:01+00:00,#PersonaBillboardNo1 축하축하해! 보라해 #BTS #방탄소년단 @BTS_twt,3,#PersonaBillboardNo1 #BTS #BTS,3,0,1008987906252271616
413,jjkmpBTS,2019-04-21 23:19:01+00:00,#bts #BTSARMY #방탄소년단 @BigHitEnt @bts_bighit @BTS_twt #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,#bts #bts #BTSARMY #BTSARMY #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,0,954070997715501056
414,jjkmpBTS,2019-04-21 23:18:54+00:00,#bts #BTSARMY #방탄소년단 @BigHitEnt @bts_bighit @BTS_twt #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,#bts #bts #BTSARMY #BTSARMY #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,0,954070997715501056
415,jjkmpBTS,2019-04-21 23:18:48+00:00,#bts #BTSARMY #방탄소년단 @BigHitEnt @bts_bighit @BTS_twt #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,#bts #bts #BTSARMY #BTSARMY #BTSxSNL #BoywithLuv200MStreamingParty #MAP_OF_THE_SOUL_PERSONA #PERSONA,0,0,954070997715501056
416,jinkimsue,2019-04-21 23:18:23+00:00,#PersonaBillboardNo1 congratulations my biggest idols of my world do you deserve this success 축하 해요 사랑해요 BTS #방탄소년단,2,#PersonaBillboardNo1,0,0,1051587886833913856
417,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
